服务,级别,错误,消息,组件,原因
iw,ERROR,INTERFACE_NOT_FOUND,"iw: Could not find interface 'nonexistent'",,无线接口不存在
iwconfig,ERROR,INTERFACE_NOT_FOUND,"iwconfig: no such wireless extension on interface nonexistent",,接口没有无线扩展
iwlist,ERROR,INTERFACE_NOT_FOUND,"iwlist: nonexistent: no such device",,设备不存在
wpa_supplicant,ERROR,CONFIG_NOT_FOUND,"wpa_supplicant: Configuration file 'nonexistent' not found",,配置文件不存在
wpa_cli,ERROR,SOCKET_NOT_FOUND,"wpa_cli: Could not connect to wpa_supplicant",,无法连接到wpa_supplicant
hostapd,ERROR,CONFIG_NOT_FOUND,"hostapd: Configuration file 'nonexistent' not found",,配置文件不存在
airmon-ng,ERROR,INTERFACE_NOT_FOUND,"airmon-ng: Interface 'nonexistent' not found",,接口不存在
airodump-ng,ERROR,INTERFACE_NOT_FOUND,"airodump-ng: Interface 'nonexistent' not found",,接口不存在
aireplay-ng,ERROR,INTERFACE_NOT_FOUND,"aireplay-ng: Interface 'nonexistent' not found",,接口不存在
aircrack-ng,ERROR,CAP_FILE_NOT_FOUND,"aircrack-ng: Cannot open file nonexistent",,捕获文件不存在
reaver,ERROR,INTERFACE_NOT_FOUND,"reaver: Interface 'nonexistent' not found",,接口不存在
bully,ERROR,INTERFACE_NOT_FOUND,"bully: Interface 'nonexistent' not found",,接口不存在
pixiewps,ERROR,INVALID_DATA,"pixiewps: Invalid data provided",,提供的数据无效
hcxdumptool,ERROR,INTERFACE_NOT_FOUND,"hcxdumptool: Interface 'nonexistent' not found",,接口不存在
hcxpcapngtool,ERROR,FILE_NOT_FOUND,"hcxpcapngtool: Cannot open file nonexistent",,文件不存在
hashcat,ERROR,HASH_NOT_RECOGNIZED,"hashcat: Token length exception",,哈希格式不被识别
john,ERROR,HASH_NOT_RECOGNIZED,"john: No password hashes loaded",,没有加载密码哈希
hydra,ERROR,TARGET_NOT_FOUND,"hydra: Host 'nonexistent.com' not found",,目标主机不存在
medusa,ERROR,TARGET_NOT_FOUND,"medusa: Host 'nonexistent.com' not found",,目标主机不存在
ncrack,ERROR,TARGET_NOT_FOUND,"ncrack: Could not resolve hostname: nonexistent.com",,目标主机名无法解析
sqlmap,ERROR,TARGET_NOT_FOUND,"sqlmap: 'nonexistent.com' is not a valid URL",,目标URL无效
nuclei,ERROR,TEMPLATE_NOT_FOUND,"nuclei: template 'nonexistent' not found",,模板不存在
metasploit,ERROR,MODULE_NOT_FOUND,"msf> use auxiliary/nonexistent: failed to load module",,Metasploit模块不存在
beef,ERROR,CONFIG_NOT_FOUND,"beef: Configuration file 'nonexistent' not found",,配置文件不存在
burpsuite,ERROR,PROJECT_NOT_FOUND,"burpsuite: Project 'nonexistent' not found",,项目文件不存在
wireshark,ERROR,CAP_FILE_NOT_FOUND,"wireshark: The file 'nonexistent' doesn't exist",,捕获文件不存在
ettercap,ERROR,INTERFACE_NOT_FOUND,"ettercap: interface 'nonexistent' not found",,接口不存在
etterlog,ERROR,LOG_FILE_NOT_FOUND,"etterlog: Cannot open file 'nonexistent'",,日志文件不存在
etterfilter,ERROR,SCRIPT_NOT_FOUND,"etterfilter: script 'nonexistent' not found",,过滤脚本不存在
dnsenum,ERROR,DOMAIN_NOT_FOUND,"dnsenum: Domain 'nonexistent.com' not found",,域名不存在
dnsmap,ERROR,DOMAIN_NOT_FOUND,"dnsmap: Domain 'nonexistent.com' not found",,域名不存在
dnsrecon,ERROR,DOMAIN_NOT_FOUND,"dnsrecon: Domain 'nonexistent.com' not found",,域名不存在
fierce,ERROR,DOMAIN_NOT_FOUND,"fierce: Domain 'nonexistent.com' not found",,域名不存在
theharvester,ERROR,DOMAIN_NOT_FOUND,"theharvester: Domain 'nonexistent.com' not found",,域名不存在
maltego,ERROR,CONFIG_NOT_FOUND,"maltego: Configuration file 'nonexistent' not found",,配置文件不存在
recon-ng,ERROR,MODULE_NOT_FOUND,"recon-ng: module 'nonexistent' not found",,模块不存在
spiderfoot,ERROR,SCAN_NOT_FOUND,"spiderfoot: Scan 'nonexistent' not found",,扫描不存在
shodan,ERROR,API_KEY_INVALID,"shodan: Invalid API key",,API密钥无效
censys,ERROR,API_KEY_INVALID,"censys: Invalid API credentials",,API凭据无效
zoomeye,ERROR,API_KEY_INVALID,"zoomeye: Invalid API key",,API密钥无效
amass,ERROR,DOMAIN_NOT_FOUND,"amass: Domain 'nonexistent.com' not found",,域名不存在
subfinder,ERROR,DOMAIN_NOT_FOUND,"subfinder: Domain 'nonexistent.com' not found",,域名不存在
assetfinder,ERROR,DOMAIN_NOT_FOUND,"assetfinder: Domain 'nonexistent.com' not found",,域名不存在
findomain,ERROR,DOMAIN_NOT_FOUND,"findomain: Domain 'nonexistent.com' not found",,域名不存在
massdns,ERROR,DOMAIN_LIST_NOT_FOUND,"massdns: Cannot open domains file 'nonexistent'",,域名列表文件不存在
masscan,ERROR,TARGET_NOT_FOUND,"masscan: target 'nonexistent.com' not found",,目标不存在
zmap,ERROR,TARGET_NOT_FOUND,"zmap: target 'nonexistent.com' not found",,目标不存在
nmap,ERROR,SCRIPT_NOT_FOUND,"nmap: Script 'nonexistent' not found",,NSE脚本不存在
nikto,ERROR,TARGET_NOT_FOUND,"nikto: Target 'nonexistent.com' not found",,目标不存在
wapiti,ERROR,TARGET_NOT_FOUND,"wapiti: Target 'nonexistent.com' not found",,目标不存在
arachni,ERROR,TARGET_NOT_FOUND,"arachni: Target 'nonexistent.com' not found",,目标不存在
w3af,ERROR,TARGET_NOT_FOUND,"w3af: Target 'nonexistent.com' not found",,目标不存在
skipfish,ERROR,TARGET_NOT_FOUND,"skipfish: Target 'nonexistent.com' not found",,目标不存在
wafw00f,ERROR,TARGET_NOT_FOUND,"wafw00f: Target 'nonexistent.com' not found",,目标不存在
whatweb,ERROR,TARGET_NOT_FOUND,"whatweb: Target 'nonexistent.com' not found",,目标不存在
dirb,ERROR,TARGET_NOT_FOUND,"dirb: Target 'nonexistent.com' not found",,目标不存在
dirbuster,ERROR,TARGET_NOT_FOUND,"dirbuster: Target 'nonexistent.com' not found",,目标不存在
gobuster,ERROR,TARGET_NOT_FOUND,"gobuster: Target 'nonexistent.com' not found",,目标不存在
ffuf,ERROR,TARGET_NOT_FOUND,"ffuf: Target 'nonexistent.com' not found",,目标不存在
wfuzz,ERROR,TARGET_NOT_FOUND,"wfuzz: Target 'nonexistent.com' not found",,目标不存在
patator,ERROR,TARGET_NOT_FOUND,"patator: Target 'nonexistent.com' not found",,目标不存在
commix,ERROR,TARGET_NOT_FOUND,"commix: Target 'nonexistent.com' not found",,目标不存在
xsstrike,ERROR,TARGET_NOT_FOUND,"xsstrike: Target 'nonexistent.com' not found",,目标不存在
xsser,ERROR,TARGET_NOT_FOUND,"xsser: Target 'nonexistent.com' not found",,目标不存在
sqlmate,ERROR,TARGET_NOT_FOUND,"sqlmate: Target 'nonexistent.com' not found",,目标不存在
nosqlmap,ERROR,TARGET_NOT_FOUND,"nosqlmap: Target 'nonexistent.com' not found",,目标不存在
mongoaudit,ERROR,TARGET_NOT_FOUND,"mongoaudit: Target 'nonexistent.com' not found",,目标不存在
redis-cli,ERROR,CONNECTION_FAILED,"redis-cli: Could not connect to Redis at nonexistent.com:6379: Connection refused",,无法连接到Redis服务器
memcached,ERROR,CONNECTION_FAILED,"memcached: failed to listen on nonexistent.com:11211",,无法在指定地址监听
etcdctl,ERROR,ENDPOINT_NOT_FOUND,"etcdctl: endpoint 'nonexistent.com' not found",,etcd端点不存在
consul,ERROR,AGENT_NOT_FOUND,"consul: Failed to get agent: dial tcp nonexistent.com:8500: connect: connection refused",,Consul代理不可达
vault,ERROR,SERVER_NOT_FOUND,"vault: Error making API request: Get https://nonexistent.com:8200/v1/sys/health: dial tcp: lookup nonexistent.com: no such host",,Vault服务器不可达
nomad,ERROR,SERVER_NOT_FOUND,"nomad: Error querying node: Get http://nonexistent.com:4646/v1/nodes: dial tcp nonexistent.com:4646: connect: connection refused",,Nomad服务器不可达
docker,ERROR,NETWORK_NOT_FOUND,"docker: network nonexistent not found",,Docker网络不存在
docker-compose,ERROR,SERVICE_NOT_FOUND,"docker-compose: service 'nonexistent' is not running",,Docker服务未运行
kubectl,ERROR,NAMESPACE_NOT_FOUND,"kubectl: namespaces 'nonexistent' not found",,Kubernetes命名空间不存在
helm,ERROR,RELEASE_NOT_FOUND,"helm: release: 'nonexistent' not found",,Helm发布不存在
istioctl,ERROR,NAMESPACE_NOT_FOUND,"istioctl: namespace 'nonexistent' not found",,Istio命名空间不存在
linkerd,ERROR,NAMESPACE_NOT_FOUND,"linkerd: namespace 'nonexistent' not found",,Linkerd命名空间不存在
flux,ERROR,REPOSITORY_NOT_FOUND,"flux: repository 'nonexistent' not found",,Git仓库不存在
argocd,ERROR,APPLICATION_NOT_FOUND,"argocd: application 'nonexistent' not found",,ArgoCD应用不存在
tekton,ERROR,PIPELINE_NOT_FOUND,"tekton: pipeline 'nonexistent' not found",,Tekton流水线不存在
knative,ERROR,SERVICE_NOT_FOUND,"knative: service 'nonexistent' not found",,Knative服务不存在
openshift,ERROR,PROJECT_NOT_FOUND,"openshift: project 'nonexistent' not found",,OpenShift项目不存在
rancher,ERROR,CLUSTER_NOT_FOUND,"rancher: cluster 'nonexistent' not found",,Rancher集群不存在
k3s,ERROR,AGENT_NOT_FOUND,"k3s: agent 'nonexistent' not found",,K3s代理不存在
k0s,ERROR,CONTROLLER_NOT_FOUND,"k0s: controller 'nonexistent' not found",,K0s控制器不存在
microk8s,ERROR,SERVICE_NOT_FOUND,"microk8s: service 'nonexistent' not found",,MicroK8s服务不存在
minikube,ERROR,PROFILE_NOT_FOUND,"minikube: profile 'nonexistent' not found",,Minikube配置档不存在
kind,ERROR,CLUSTER_NOT_FOUND,"kind: cluster 'nonexistent' not found",,Kind集群不存在
kubeadm,ERROR,CONFIG_NOT_FOUND,"kubeadm: config file 'nonexistent' not found",,配置文件不存在
kubelet,ERROR,CONFIG_NOT_FOUND,"kubelet: config file 'nonexistent' not found",,配置文件不存在
kube-proxy,ERROR,CONFIG_NOT_FOUND,"kube-proxy: config file 'nonexistent' not found",,配置文件不存在
