服务,级别,错误,消息,组件,原因
springldap,ERROR,InvalidNameException,无效名称异常: DN格式错误,LdapName,识别名字符串不符合LDAP DN格式规范
springhateoas,ERROR,CurieProviderException,Curie提供者异常: 命名空间冲突,CurieProvider,定义的curie命名空间与现有关系冲突
springrestdocs,ERROR,PreprocessOperationException,预处理操作异常: 内容替换失败,Preprocessors,文档预处理过程中内容替换错误
springkafka,ERROR,ListenerContainerPausedException,监听器容器暂停: 手动暂停,ConcurrentMessageListenerContainer,通过JMX或API手动暂停监听器
springintegration,ERROR,MessageFilterException,消息过滤异常: 表达式评估错误,MessageFilter,过滤条件SpEL表达式执行异常
springbatch,ERROR,ItemWriteException,项目写入异常: 约束违反,JdbcBatchItemWriter,插入数据违反数据库约束条件
springsession,ERROR,SessionStorageException,会话存储异常: 存储空间不足,SessionRepository,持久化存储空间不足无法保存会话数据
springsecurity,ERROR,RememberMeAuthenticationException,记住我认证异常: 令牌无效,RememberMeServices,记住我令牌已过期或篡改
springwebflow,ERROR,FlowAttributeException,流程属性异常: 范围设置错误,FlowAttribute,流程属性作用域配置冲突
springmobile,ERROR,DeviceCapabilitiesException,设备能力异常: 特性检测失败,DeviceCapabilities,无法检测设备的特定能力
springandroid,ERROR,AuthorizationException,授权异常: 用户拒绝授权,AuthorizationRequest,用户在OAuth2授权页面拒绝授权
springroo,ERROR,RepositoryCreationException,仓库创建失败: 接口签名错误,RepositoryGenerator,Repository接口方法签名不符合Spring Data规范
springshell,ERROR,CommandHistoryException,命令历史异常: 持久化失败,History,命令历史记录保存到文件时发生IO错误
springxd,ERROR,ModuleResolutionException,模块解析异常: 依赖冲突,ModuleResolver,模块依赖的库版本冲突
springflo,ERROR,FlowExecutionException,流程执行异常: 决策节点错误,DecisionNode,决策节点条件评估抛出异常
springcloudstream,ERROR,BindingProductionException,绑定生产异常: 通道创建失败,BindingProducer,创建消息通道时发生错误
springvault,ERROR,SecretNotFoundException,秘密未找到: 路径不存在,VaultTemplate,指定的秘密引擎路径不存在
springstatemachine,ERROR,StateMachineException,状态机异常: 事件分发错误,StateMachineEventPublisher,状态机事件分发过程中发生异常
springldap,ERROR,OperationNotSupportedException,操作不支持: 控制无效,LdapContext,LDAP服务器不支持请求的控制操作
springhateoas,ERROR,LinkRelationException,链接关系异常: IANA关系未注册,LinkRelation,使用的链接关系未在IANA注册
springrestdocs,ERROR,ConstraintViolationException,约束违反异常: 文档约束检查失败,ConstraintValidator,生成的文档违反自定义约束规则
springkafka,ERROR,RecordTooLargeException,记录过大异常: 消息超过最大大小,Producer,消息大小超过broker允许的最大值
springintegration,ERROR,MessageRoutingException,消息路由异常: 路由键解析失败,HeaderValueRouter,无法从消息头中提取路由键
springbatch,ERROR,JobExecutionAlreadyRunningException,作业执行已运行: 重复启动,JobLauncher,尝试启动已处于运行状态的作业
springsession,ERROR,SessionCreationException,会话创建异常: ID生成冲突,SessionIdGenerator,生成的会话ID与现有会话冲突
springsecurity,ERROR,CsrfException,CSRF异常: 令牌不匹配,CsrfFilter,请求中的CSRF令牌与会话中存储的不匹配
springwebflux,ERROR,WebSessionNotFoundException,Web会话未找到: 会话过期,WebSessionManager,WebFlux会话超时导致会话丢失
springmobile,ERROR,DeviceResolutionException,设备解析异常: 自定义解析器未注册,DeviceResolverManager,未找到适合的设备解析器
springandroid,ERROR,TokenRequestFailureException,令牌请求失败: 授权码无效,AuthorizationCodeTokenProvider,OAuth2授权码已被使用
springroo,ERROR,WebLayerException,Web层生成失败: 控制器映射冲突,WebMvcGenerator,生成的控制器请求映射路径重复
springshell,ERROR,CommandExecutionException,命令执行异常: 权限不足,CommandExecutor,当前用户无权执行该Shell命令
springxd,ERROR,AdminServerException,管理服务器异常: REST API不可用,AdminServer,管理服务器未启动或端口被占用
springflo,ERROR,FlowParseException,流程解析异常: 图形格式错误,FlowParser,流程图形数据格式不符合预期
springcloudstream,ERROR,MessageConversionException,消息转换异常: 类型不匹配,MessageConverter,消息负载类型与目标类型不兼容
springvault,ERROR,VaultResponseException,Vault响应异常: 权限不足,VaultTemplate,令牌无权访问指定路径
springstatemachine,ERROR,StateMachineAccessException,状态机访问异常: 状态机未启动,StateMachine,尝试操作未启动的状态机
springldap,ERROR,CommunicationException,通信异常: LDAP服务器无响应,LdapClient,LDAP服务器连接超时或不可达
springhateoas,ERROR,ResourceSupportException,资源支持异常: 链接生成失败,ResourceSupport,资源对象链接生成过程中发生错误
springrestdocs,ERROR,TemplateEngineException,模板引擎异常: 模板渲染失败,TemplateEngine,文档模板中存在语法错误
