服务,级别,错误,消息,组件,原因
Sentence-Transformers,ERROR,EMBEDDING_FAIL,Embedding generation failed,EmbeddingGenerator,嵌入生成失败
Sentence-Transformers,FATAL,MODEL_ARCH,Model architecture mismatch,ArchitectureValidator,模型架构不匹配
Sentence-Transformers,WARN,NORMALIZATION,Embedding not normalized,NormalizationChecker,嵌入未归一化
LangChain,ERROR,CHAIN_EXECUTE,Chain execution failed,ChainExecutor,链执行失败
LangChain,FATAL,PROMPT_TEMPLATE,Prompt template error,TemplateManager,提示模板错误
LangChain,WARN,MEMORY_FULL,Memory buffer full,MemoryManager,记忆缓冲区已满
OpenAI,ERROR,API_QUOTA,API quota exceeded,QuotaManager,API配额超限
OpenAI,FATAL,RATE_LIMIT,Rate limit exceeded,RateLimiter,速率限制超限
OpenAI,WARN,MODEL_DEPRECATED,Model deprecated,ModelManager,模型已弃用
Pinecone,ERROR,INDEX_UPSERT,Upsert operation failed,IndexManager,索引更新失败
Pinecone,FATAL,CONNECTION_POOL,Connection pool exhausted,ConnectionPool,连接池耗尽
Pinecone,WARN,VECTOR_DIM,Vector dimension mismatch,DimensionValidator,向量维度不匹配
Chroma,ERROR,COLLECTION_CREATE,Collection creation failed,CollectionManager,集合创建失败
Chroma,FATAL,EMBEDDING_FUNC,Embedding function failed,EmbeddingFunction,嵌入函数失败
Chroma,WARN,QUERY_PARAM,Query parameter invalid,QueryValidator,查询参数无效
Polars,ERROR,COLUMN_NOT_FOUND,Column 'user_id' not found,DataFrameValidator,数据框中不存在指定列
Polars,FATAL,LAZY_FRAME,LazyFrame collection failed,LazyExecutor,延迟执行框架收集失败
Polars,WARN,DATA_TYPE,Dtype conversion may lose precision,TypeConverter,数据类型转换可能丢失精度
DuckDB,ERROR,PARQUET_READ,Parquet file read failure,ParquetReader,Parquet文件读取失败
DuckDB,FATAL,QUERY_PLAN,Query planning failed,QueryPlanner,查询计划生成失败
DuckDB,WARN,INDEX_MISSING,Index not used in query,QueryOptimizer,查询未使用索引
Vaex,ERROR,EXPRESSION_EVAL,Expression evaluation failed,ExpressionEvaluator,表达式求值失败
Vaex,FATAL,VIRTUAL_COLUMN,Virtual column creation failed,VirtualColumnManager,虚拟列创建失败
Vaex,WARN,MEMORY_MAPPING,Memory mapping inefficient,MemoryMapper,内存映射效率低下
Modin,ERROR,PANDAS_API,Pandas API compatibility issue,PandasAdapter,Pandas API兼容性问题
Modin,FATAL,DISTRIBUTED_OPS,Distributed operation failed,DistributedEngine,分布式操作失败
Modin,WARN,RAY_CLUSTER,Ray cluster not optimized,ClusterOptimizer,Ray集群未优化
Cython,ERROR,COMPILE_ERROR,Cython compilation failed,CythonCompiler,Cython编译失败
Cython,FATAL,TYPE_DECLARATION,Type declaration error,TypeChecker,类型声明错误
Cython,WARN,PURE_PYTHON,Pure Python fallback used,PerformanceMonitor,回退到纯Python模式
Numba,ERROR,JIT_COMPILE,Numba JIT compilation failed,JITCompiler,即时编译失败
Numba,FATAL,NPY_RULES,NumPy rules not supported,NumPyCompatibility,NumPy规则不支持
Numba,WARN,OBJECT_MODE,Object mode performance hit,PerformanceAdvisor,对象模式性能下降
Cupy,ERROR,CUDA_DRIVER,CUDA driver version mismatch,CUDAValidator,CUDA驱动版本不匹配
Cupy,FATAL,KERNEL_LAUNCH,CUDA kernel launch failure,KernelLauncher,CUDA内核启动失败
Cupy,WARN,MEMORY_POOL,Memory pool allocation slow,MemoryPoolManager,内存池分配缓慢
Jax,ERROR,GRAD_COMPUTE,Gradient computation failed,GradientComputer,梯度计算失败
Jax,FATAL,XLA_COMPILE,XLA compilation failed,XLACompiler,XLA编译失败
Jax,WARN,JIT_TRACE,JIT tracing warning,Tracer,JIT跟踪警告
SymPy,ERROR,SYMBOLIC_SOLVE,Symbolic solving failed,SymbolicSolver,符号求解失败
SymPy,FATAL,SIMPLIFICATION,Expression simplification failed,Simplifier,表达式简化失败
SymPy,WARN,ASSUMPTION_VIOLATION,Assumption violation detected,AssumptionChecker,假设条件违反
NetworkX,ERROR,GRAPH_CYCLE,Graph cycle detection failed,CycleDetector,图循环检测失败
NetworkX,FATAL,ALGORITHM_FAIL,Graph algorithm failed,AlgorithmExecutor,图算法执行失败
NetworkX,WARN,PERFORMANCE_LARGE,Performance issue with large graph,PerformanceMonitor,大图性能问题
PyGraphviz,ERROR,DOT_PARSE,DOT language parsing failed,DOTParser,DOT语言解析失败
PyGraphviz,FATAL,RENDER_FORMAT,Render format not supported,Renderer,渲染格式不支持
PyGraphviz,WARN,LAYOUT_ALGORITHM,Layout algorithm suboptimal,LayoutOptimizer,布局算法非最优
Scrapy,ERROR,SPIDER_FAIL,Spider execution failed,SpiderRunner,爬虫执行失败
Scrapy,FATAL,DOWNLOADER_MIDDLEWARE,Downloader middleware error,DownloaderManager,下载中间件错误
Scrapy,WARN,ROBOTSTXT,Robots.txt compliance warning,RobotsValidator,Robots.txt合规警告
Selenium,ERROR,WEBDRIVER_FAIL,WebDriver initialization failed,WebDriverManager,WebDriver初始化失败
Selenium,FATAL,ELEMENT_NOT_FOUND,Element not found in timeout,ElementLocator,超时内未找到元素
Selenium,WARN,IMPLICIT_WAIT,Implicit wait may slow tests,WaitStrategy,隐式等待可能减慢测试
Playwright,ERROR,BROWSER_CONTEXT,Browser context creation failed,BrowserManager,浏览器上下文创建失败
Playwright,FATAL,PAGE_NAVIGATE,Page navigation timeout,PageNavigator,页面导航超时
Playwright,WARN,SELECTOR_INVALID,CSS selector invalid,SelectorValidator,CSS选择器无效
Locust,ERROR,USER_SPAWN,User spawn rate too high,UserSpawner,用户生成速率过高
Locust,FATAL,MASTER_WORKER,Master-worker communication failed,DistributedCoordinator,主从通信失败
Locust,WARN,RPS_LIMIT,RPS limit approaching,LoadMonitor,RPS接近限制
Faker,ERROR,LOCALE_DATA,Locale data not found,LocaleManager,本地化数据不存在
Faker,FATAL,PROVIDER_LOAD,Provider loading failed,ProviderLoader,提供者加载失败
Faker,WARN,DATA_QUALITY,Generated data quality issue,DataQualityChecker,生成数据质量问题
Great-Expectations,ERROR,VALIDATION_FAIL,Data validation failed,DataValidator,数据验证失败
Great-Expectations,FATAL,CHECKPOINT_SAVE,Checkpoint save failed,CheckpointManager,检查点保存失败
Great-Expectations,WARN,EXPECTATION_CONFIG,Expectation configuration warning,ConfigValidator,期望配置警告
Kedro,ERROR,PIPELINE_RUN,Pipeline run failed,PipelineRunner,管道运行失败
Kedro,FATAL,CATALOG_LOAD,Catalog loading failed,CatalogLoader,目录加载失败
Kedro,WARN,DATA_VERSIONING,Data versioning issue,VersionManager,数据版本控制问题
Luigi,ERROR,TASK_DEPENDENCY,Task dependency resolution failed,DependencyResolver,任务依赖解析失败
Luigi,FATAL,WORKER_POOL,Worker pool exhausted,WorkerManager,工作池耗尽
Luigi,WARN,SCHEDULER_BACKLOG,Scheduler backlog large,SchedulerMonitor,调度器积压严重
Poetry,ERROR,DEPENDENCY_RESOLVE,Dependency resolution failed,DependencyResolver,依赖解析失败
Poetry,FATAL,LOCK_FILE,Lock file corrupted,LockFileManager,锁定文件损坏
Poetry,WARN,VERSION_CONFLICT,Version conflict detected,VersionChecker,检测到版本冲突
Pipenv,ERROR,VIRTUALENV_FAIL,Virtual environment creation failed,VirtualEnvManager,虚拟环境创建失败
Pipenv,FATAL,PIPFILE_LOCK,Pipfile.lock out of sync,LockFileValidator,Pipfile.lock不同步
Pipenv,WARN,SHELL_ACTIVATE,Shell activation warning,ShellManager,Shell激活警告
Conda,ERROR,ENVIRONMENT_CREATE,Environment creation failed,EnvironmentManager,环境创建失败
Conda,FATAL,SOLVER_ERROR,Dependency solver error,DependencySolver,依赖求解器错误
Conda,WARN,CHANNEL_PRIORITY,Channel priority conflict,ChannelManager,通道优先级冲突
Pip-tools,ERROR,REQUIREMENTS_COMPILE,Requirements compilation failed,Compiler,需求文件编译失败
Pip-tools,FATAL,VERSION_PIN,Version pinning failed,VersionPinner,版本锁定失败
Pip-tools,WARN,OUTDATED_PACKAGE,Outdated package detected,PackageChecker,检测到过时包
Black,ERROR,CODE_FORMAT,Code formatting failed,Formatter,代码格式化失败
Black,FATAL,SYNTAX_ERROR,Syntax error in source code,SyntaxChecker,源代码语法错误
Black,WARN,LINE_LENGTH,Line length exceeds limit,LineLengthChecker,行长度超限
Flake8,ERROR,LINT_FAIL,Linting failed,Linter,代码检查失败
Flake8,FATAL,PLUGIN_LOAD,Plugin loading error,PluginLoader,插件加载错误
Flake8,WARN,STYLE_VIOLATION,Style violation detected,StyleChecker,检测到风格违规
Pylint,ERROR,STATIC_ANALYSIS,Static analysis failed,StaticAnalyzer,静态分析失败
Pylint,FATAL,AST_PARSE,AST parsing failed,ASTParser,AST解析失败
Pylint,WARN,CODE_COMPLEXITY,Code complexity high,ComplexityAnalyzer,代码复杂度高
MyPy,ERROR,TYPE_CHECK,Type checking failed,TypeChecker,类型检查失败
MyPy,FATAL,STUB_MISSING,Stub file missing,StubManager,存根文件缺失
MyPy,WARN,IMPLICIT_ANY,Implicit Any used,TypeInferencer,使用了隐式Any类型
Bandit,ERROR,SECURITY_SCAN,Security scan failed,SecurityScanner,安全扫描失败
Bandit,FATAL,AST_BUILD,AST building failed,ASTBuilder,AST构建失败
Bandit,WARN,SECURITY_ISSUE,Security issue detected,SecurityAnalyzer,检测到安全问题
Safety,ERROR,VULNERABILITY_CHECK,Vulnerability check failed,VulnerabilityScanner,漏洞检查失败
Safety,FATAL,DB_UPDATE,Vulnerability database update failed,DatabaseUpdater,漏洞数据库更新失败
Safety,WARN,UNPATCHED_VULN,Unpatched vulnerability found,VulnerabilityReporter,发现未修补漏洞
Pydocstyle,ERROR,DOC_CHECK,Documentation check failed,DocumentationChecker,文档检查失败
Pydocstyle,FATAL,PARSE_ERROR,Docstring parsing error,DocstringParser,文档字符串解析错误
Pydocstyle,WARN,STYLE_ISSUE,Documentation style issue,StyleChecker,文档风格问题
Coverage.py,ERROR,COVERAGE_RUN,Coverage run failed,CoverageRunner,覆盖率运行失败
Coverage.py,FATAL,DATA_SAVE,Coverage data save failed,DataSaver,覆盖率数据保存失败
Coverage.py,WARN,LOW_COVERAGE,Low coverage detected,CoverageAnalyzer,检测到低覆盖率
Pytest-cov,ERROR,COVERAGE_MERGE,Coverage merge failed,CoverageMerger,覆盖率合并失败
Pytest-cov,FATAL,REPORT_GEN,Report generation failed,ReportGenerator,报告生成失败
Pytest-cov,WARN,THRESHOLD_FAIL,Coverage threshold not met,ThresholdChecker,覆盖率阈值未达到
Hypothesis,ERROR,SHRINK_FAIL,Example shrinking failed,ExampleShrinker,示例收缩失败
Hypothesis,FATAL,STRATEGY_FAIL,Strategy generation failed,StrategyGenerator,策略生成失败
Hypothesis,WARN,FLAKY_TEST,Flaky test detected,FlakyDetector,检测到不稳定测试
Tox,ERROR,ENV_CREATE,Environment creation failed,EnvironmentCreator,环境创建失败
Tox,FATAL,COMMAND_EXEC,Command execution failed,CommandExecutor,命令执行失败
Tox,WARN,DEPENDENCY_MISSING,Dependency missing in env,DependencyChecker,环境中依赖缺失
Docker-py,ERROR,IMAGE_BUILD,Image build failed,ImageBuilder,镜像构建失败
Docker-py,FATAL,CONTAINER_RUN,Container run failed,ContainerRunner,容器运行失败
Docker-py,WARN,RESOURCE_LIMIT,Resource limit approaching,ResourceMonitor,资源限制接近
Kubernetes-py,ERROR,POD_CREATE,Pod creation failed,PodManager,Pod创建失败
Kubernetes-py,FATAL,API_SERVER,API server communication failed,APIClient,API服务器通信失败
Kubernetes-py,WARN,RESOURCE_QUOTA,Resource quota exceeded,ResourceQuotaManager,资源配额超限
Boto3,ERROR,AWS_CREDENTIAL,AWS credential invalid,CredentialValidator,AWS凭据无效
Boto3,FATAL,SERVICE_ERROR,AWS service error,ServiceClient,AWS服务错误
Boto3,WARN,RATE_LIMIT,API rate limit approaching,RateLimitMonitor,API速率限制接近
